Time,Amplitude
0.286,0.01305758411894229
0.288,0.007944789326829788
0.29,-3.513955412444858e-05
0.292,-0.004945390819641546
0.294,-0.00044360400213252403
0.296,0.01188707541411614
0.298,0.02545546348438856
0.3,0.02651810118478999
0.302,0.016027311262421358
0.304,0.0036479310363495116
0.306,0.0019200751349594967
0.308,0.013462095423555177
0.31,0.029231057991689718
0.312,0.03783582849774727
0.314,0.0365711599616836
0.316,0.02964593812763645
0.318,0.02465280878254164
0.32,0.025587991871697007
0.322,0.03234263848547461
0.324,0.042900759362506494
0.326,0.05287650554080582
0.328,0.06019537493217437
0.33,0.05877993856530845
0.332,0.05164515866433773
0.334,0.047977377377114695
0.336,0.05708179853779465
0.338,0.07871537471097843
0.34,0.0985340247962509
0.342,0.10607798024811183
0.344,0.09990665658192666
0.346,0.09013085318745406
0.348,0.09051862538417245
0.35,0.1036150613677147
0.352,0.12185561437160525
0.354,0.13418055943050378
0.356,0.13987647781262028
0.358,0.14119778509445688
0.36,0.14295270616122382
0.362,0.1479708966540885
0.364,0.15619315189984173
0.366,0.16858341674474292
0.368,0.18607237787606523
0.37,0.20264476567082684
0.372,0.2094050806633373
0.374,0.20323035525933786
0.376,0.19517339849097598
0.378,0.1998016944059983
0.38,0.22124159875737717
0.382,0.2460834672425357
0.384,0.2575315156404859
0.386,0.24929794419264192
0.388,0.2362086020081674
0.39,0.23413708015627585
0.392,0.2481674741299499
0.394,0.2668539933625526
0.396,0.2744831497258698
0.398,0.2677916139207618
0.4,0.2565288625322099
0.402,0.2505554393850059
0.404,0.24880166821019134
0.406,0.2468510190467991
0.408,0.2443281377833041
0.41,0.24268040156052828
0.412,0.24406621808888912
0.414,0.24209900284382124
0.416,0.2276601827537126
0.418,0.2011902556444841
0.42,0.17574058194290104
0.422,0.16650949301461487
0.424,0.1714601456554385
0.426,0.1730922758568155
0.428,0.15554841685099935
0.43,0.12040267794740407
0.432,0.08773865215142843
0.434,0.07506623097961303
0.436,0.08013097602354703
0.438,0.08420129651913669
0.44,0.07432212377207076
0.442,0.04994233979324384
0.444,0.026004202878363167
0.446,0.01394921799447948
0.448,0.011204668047076169
0.45,0.01211814407264673
0.452,0.00805569958284903
0.454,-2.2901141977854423e-05
0.456,-0.009094679462973545
0.458,-0.017671571774308576
0.46,-0.024521958336297587
0.462,-0.030832823265177296
0.464,-0.0316613923683239
0.466,-0.029065106895515783
0.468,-0.026028928515638882
0.47,-0.029281093382417026
0.472,-0.038058407212007296
0.474,-0.04730868915720046
0.476,-0.05177017349743602
0.478,-0.049145990077874104
0.48,-0.04550730555320447
0.482,-0.04625123369574158
0.484,-0.04915186513188442
0.486,-0.052657175527586815
0.488,-0.054277511073267
0.49,-0.057570342050834
0.492,-0.06185375204311896
0.494,-0.061459469639741575
0.496,-0.05267475185721625
0.498,-0.04119626077358907
0.5,-0.03502977894498801
0.502,-0.04163605323834102
0.504,-0.057349911801019206
0.506,-0.06577842810572858
0.508,-0.05856727890579813
0.51,-0.04176767401535169
0.512,-0.03025442862472889
0.514,-0.036847123293234155
0.516,-0.05582599659362291
0.518,-0.0703205434991283
0.52,-0.06704579240964109
0.522,-0.04895377319815127
0.524,-0.03233847880166746
0.526,-0.029519398891022234
0.528,-0.04213144016570299
0.53,-0.06060324053712775
0.532,-0.0711884700280703
0.534,-0.067644839988502
0.536,-0.05452284736137707
0.538,-0.04152583911606471
0.54,-0.035734071006396695
0.542,-0.041824548875530616
0.544,-0.0541636309656382
0.546,-0.06420106022846629
0.548,-0.061933661699728554
0.55,-0.04956728387520741
0.552,-0.035479817965326406
0.554,-0.031202472817238716
0.556,-0.0415549104153832
0.558,-0.057869899874201734
0.56,-0.06739299764352924
0.562,-0.062374875940622736
0.564,-0.04868192390732894
0.566,-0.037963029794021594
0.568,-0.03732212017001645
0.57,-0.047104538850212936
0.572,-0.0576496524647615
0.574,-0.06123627541733369
0.576,-0.05564365863951125
0.578,-0.0474643792060113
0.58,-0.04048782153503048
0.582,-0.03983336517156726
0.584,-0.04408409912092394
0.586,-0.04943658051299423
0.588,-0.05423774802289828
0.59,-0.05454340121459015
0.592,-0.050806294960079094
0.594,-0.044795631339916424
0.596,-0.0423322383063991
0.598,-0.04695024981879206
0.6,-0.05689565915663954
0.602,-0.06723260688839208
0.604,-0.07040838198326568
0.606,-0.06557960653142554
0.608,-0.05619997333802575
0.61,-0.04852561242300488
0.612,-0.04790296585474188
0.614,-0.05440439482651492
0.616,-0.0624014843756768
0.618,-0.06578047896363852
0.62,-0.06170079315890107
0.622,-0.053142550958963114
0.624,-0.047795508043048045
0.626,-0.04965595142766775
0.628,-0.05585664183547768
0.63,-0.06148882870226268
0.632,-0.0627154053924746
0.634,-0.059488304896934796
0.636,-0.05573605069743653
0.638,-0.053439945352972806
0.64,-0.05476239065329719
0.642,-0.05851659760093097
0.644,-0.06124175357979492
0.646,-0.06385475061771671
0.648,-0.06364756323224652
0.65,-0.06033835705515241
0.652,-0.05165817798762873
0.654,-0.04473190069986703
0.656,-0.04405129967522871
0.658,-0.05324729903110796
0.66,-0.06675850900840274
0.662,-0.07331228982916224
0.664,-0.06645680616868942
